0,Government transparency enables the public to hold the government accountable for how they spend their money.,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
1,Beijing has encouraged regional authorities to introduce sunshine policies that tackle corruption through increased transparency.,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
2,His judgement is clouded.,ABILITY TO EVALUATE IS ABILITY TO SEE
3,The US is blind to the limits of Palestinian politics.,ABILITY TO KNOW IS ABILITY TO SEE
4,The issue was exposed to the light of day.,ABILITY TO KNOW IS ABILITY TO SEE
5,The government covered up the high levels of radiation.,ABILITY TO KNOW IS ABILITY TO SEE
6,Will House Republicans Get Bullied into a Tax Hike By Obama?,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
7,"On the other hand, it's making him look indecisive, and as Pat said, he's being pushed around by the generals, by the Secretary of State and by others.",ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
8,They just handed him the job.,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
9,Seize the opportunity.,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
10,"I kept getting close to a world championship, but it kept escaping me.",ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
11,He finally managed to get a smile out of her.,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
12,She landed four huge accounts this year.,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
13,We've reached the end.,ACHIEVING A PURPOSE IS REACHING A DESTINATION
14,We are seeing the light at the end of the tunnel.,ACHIEVING A PURPOSE IS REACHING A DESTINATION
15,We only have  short way to go.,ACHIEVING A PURPOSE IS REACHING A DESTINATION
16,We're where we wanted to go.,ACHIEVING A PURPOSE IS REACHING A DESTINATION
17,The goal is a long way off.,ACHIEVING A PURPOSE IS REACHING A DESTINATION
18,He is just floating around.,ACHIEVING A PURPOSE IS REACHING A DESTINATION
19,"Hitler's rise to power cannot be attributed to one event, but a mixture of factors including events happening outside Germany...",ACHIEVING POWER IS MOVING UPWARDS
20,Regensburg’s political influence reached its peak when Regensburg was city of the Perpetual Diet or General Assembly of the Imperial Estates of the Holy Roman Empire from 1663 to 1806.,ACHIEVING POWER IS MOVING UPWARDS
21,We pitched them the idea and they ate it right up.,ACQUIRING IDEAS IS EATING
22,He's been feeding her lies all these years.,ACQUIRING IDEAS IS EATING
23,This article is hard to digest.,ACQUIRING IDEAS IS EATING
24,The car is in motion.,ACTION IS BEING IN A LOCATION
25,I'm going to leave.,ACTION IS BEING IN A LOCATION
26,She's close to resigning.,ACTION IS BEING IN A LOCATION
27,Devastation from the hurricane thrust the nation into recession.,ACTION IS MOTION ALONG A PATH
28,Congress' refusal to compromise is moving the country toward economic ruin.,ACTION IS MOTION ALONG A PATH
29,This computer program turns the power on and off.,ACTION IS MOTION
30,He exercised to the point of exhaustion.,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
31,She squeezed her way to thinner thighs.,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
32,He drank himself out of the promotion.,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
33,He went on with what he was doing.,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
34,She went back to sleep.,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
35,She successfully navigated her way through the contract negotiations.,ACTION IS SELF-PROPELLED MOTION ALONG A PATH
36,How did Jerry get out of washing the windows?,ACTIVITIES ARE BOUNDED REGIONS IN SPACE
