Government transparency enables the public to hold the government accountable for how they spend their money.,PUBLIC EVALUABILITY OF GOVERMNENT IS TRANSPARENCY,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
Beijing has encouraged regional authorities to introduce sunshine policies that tackle corruption through increased transparency.,PUBLIC EVALUABILITY OF GOVERMNENT IS TRANSPARENCY,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
His judgement is clouded.,MAKING A DECISION IS WEIGHING,ABILITY TO EVALUATE IS ABILITY TO SEE
The US is blind to the limits of Palestinian politics.,GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS TRAMPLING ON AN OBJECT,ABILITY TO KNOW IS ABILITY TO SEE
The issue was exposed to the light of day.,CORRUPTION IS A DISEASE,ABILITY TO KNOW IS ABILITY TO SEE
The government covered up the high levels of radiation.,CONTROL IS UP,ABILITY TO KNOW IS ABILITY TO SEE
Will House Republicans Get Bullied into a Tax Hike By Obama?,NEGATIVELY EVALUATED GOVERNMENT ACTIVITY IS DISGUSTING OBJECT,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
"On the other hand, it's making him look indecisive, and as Pat said, he's being pushed around by the generals, by the Secretary of State and by others.",NEGATIVELY EVALUATED GOVERNMENT ACTIVITY IS DISGUSTING OBJECT,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
They just handed him the job.,CERTAIN IS FIRM,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
Seize the opportunity.,OPPORTUNITIES ARE PORTALS,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
"I kept getting close to a world championship, but it kept escaping me.",ELECTIONS ARE COMPETITIVE SPORTS EVENTS,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
He finally managed to get a smile out of her.,SENSING IS SMELLING,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
She landed four huge accounts this year.,ACHIEVING POWER IS MOVING UPWARDS,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
We've reached the end.,PAST IS BEHIND,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We are seeing the light at the end of the tunnel.,MORE IS UP,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We only have  short way to go.,LESS IS DOWN,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We're where we wanted to go.,AIDS TO ACHIEVING A PURPOSE ARE AIDS TO REACHING A DESTINATION,ACHIEVING A PURPOSE IS REACHING A DESTINATION
The goal is a long way off.,DEGREE IS DISTANCE ALONG A PATH,ACHIEVING A PURPOSE IS REACHING A DESTINATION
He is just floating around.,NONVISUAL PERCEPTUAL SPACE IS PHYSICAL SPACE,ACHIEVING A PURPOSE IS REACHING A DESTINATION
"Hitler's rise to power cannot be attributed to one event, but a mixture of factors including events happening outside Germany...",LIFE IS A COMPLEX STRUCTURE,ACHIEVING POWER IS MOVING UPWARDS
Regensburg’s political influence reached its peak when Regensburg was city of the Perpetual Diet or General Assembly of the Imperial Estates of the Holy Roman Empire from 1663 to 1806.,GOVERNMENT IS AN ORGANISM,ACHIEVING POWER IS MOVING UPWARDS
We pitched them the idea and they ate it right up.,CONSUMING RESOURCES IS EATING,ACQUIRING IDEAS IS EATING
