Government transparency enables the public to hold the government accountable for how they spend their money.,PUBLIC EVALUABILITY OF GOVERMNENT IS TRANSPARENCY,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
Beijing has encouraged regional authorities to introduce sunshine policies that tackle corruption through increased transparency.,ALTERNATIVES ARE DIFFERENT AVAILABLE PATHS,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
His judgement is clouded.,MAKING A DECISION IS WEIGHING,ABILITY TO EVALUATE IS ABILITY TO SEE
The US is blind to the limits of Palestinian politics.,INEQUALITY IS BEING ON DIFFERENT VERTICAL LEVELS,ABILITY TO KNOW IS ABILITY TO SEE
The issue was exposed to the light of day.,NOW IS HERE,ABILITY TO KNOW IS ABILITY TO SEE
The government covered up the high levels of radiation.,HIGH STATUS IS UP,ABILITY TO KNOW IS ABILITY TO SEE
Will House Republicans Get Bullied into a Tax Hike By Obama?,INEQUALITY IS BEING ON DIFFERENT VERTICAL LEVELS,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
"On the other hand, it's making him look indecisive, and as Pat said, he's being pushed around by the generals, by the Secretary of State and by others.",MAKING A DECISION IS WEIGHING,ABUSIVE POLITICAL LEADERS ARE PHYSICAL BULLIES
They just handed him the job.,EFFECTS ARE TRANSFERRED OBJECTS,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
Seize the opportunity.,OPPORTUNITIES ARE PORTALS,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
"I kept getting close to a world championship, but it kept escaping me.",ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
He finally managed to get a smile out of her.,PROGRESSING THROUGH LIFE IS MOVING ALONG A PATH,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
She landed four huge accounts this year.,MORE IS BIG,ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT
We've reached the end.,NOW IS HERE,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We are seeing the light at the end of the tunnel.,PAST IS BEHIND,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We only have  short way to go.,PROGRESSING THROUGH LIFE IS MOVING ALONG A PATH,ACHIEVING A PURPOSE IS REACHING A DESTINATION
We're where we wanted to go.,ACHIEVING A PURPOSE IS REACHING A DESTINATION,ACHIEVING A PURPOSE IS REACHING A DESTINATION
The goal is a long way off.,PAST IS BEHIND,ACHIEVING A PURPOSE IS REACHING A DESTINATION
He is just floating around.,EMOTIONALLY MILD IS EXPERIENCING MILD TEMPERATURE,ACHIEVING A PURPOSE IS REACHING A DESTINATION
"Hitler's rise to power cannot be attributed to one event, but a mixture of factors including events happening outside Germany...",ALTERNATIVES ARE DIFFERENT AVAILABLE PATHS,ACHIEVING POWER IS MOVING UPWARDS
Regensburg’s political influence reached its peak when Regensburg was city of the Perpetual Diet or General Assembly of the Imperial Estates of the Holy Roman Empire from 1663 to 1806.,ALTERNATIVES ARE DIFFERENT AVAILABLE PATHS,ACHIEVING POWER IS MOVING UPWARDS
We pitched them the idea and they ate it right up.,ACQUIRING IDEAS IS EATING,ACQUIRING IDEAS IS EATING
He's been feeding her lies all these years.,Ongoing causation is nourishing,ACQUIRING IDEAS IS EATING
